city,category,created_at,price,price_per_sqm,total_size,furnished,registration_possible,washing_machine,tv,balcony,garden,terrace
Calafat,Luxury Apartment,2013-09-20 07:04:37,1192.85,38.48,31,,True,True,True,,,
Calan,Luxury Apartment,2015-12-13 23:25:23,3806.89,,,True,,False,,,no,no
Calan,Apartment,2017-07-04 00:59:42,855.4,,,False,True,,False,,,
Medgidia,Apartment,2015-06-06 15:49:52,620.1,6.6,94,True,,True,,,,
Targu Frumos,Luxury Apartment,2015-06-30 03:37:15,3170.2,25.36,125,False,True,True,True,,,
Barlad,Luxury Apartment,2017-10-22 01:25:47,4584.84,27.96,164,False,False,True,,,no,
Comanesti,Apartment,2017-11-28 07:41:31,839.97,,,False,,,True,,yes,
Afumati,Apartment,2017-10-24 12:11:36,673.68,,,True,,True,True,,no,
Modelu,Apartment,2016-09-28 22:31:04,824.12,,,False,,,,,no,
Rasnov,Other,2013-11-10 17:41:51,136.33,1.29,106,,False,True,True,,,
Boldesti-Scaeni,Apartment,2015-12-14 20:49:05,917.68,9.76,94,True,,True,False,,,
Calan,Apartment,2015-12-06 22:07:46,921.9,,,True,,,,,,
Strehaia,Apartment,2017-05-12 15:37:14,627.76,14.27,44,False,,False,,,,
Campia Turzii,Apartment,2014-09-15 16:51:07,824.95,,,,False,True,False,,,
Iernut,Apartment,2013-05-02 06:30:13,556.52,7.73,72,True,,False,,,yes,no
Prejmer,Luxury Apartment,2013-06-29 03:43:24,2061.32,22.41,92,,True,False,False,,yes,
Oradea,Apartment,2014-12-17 02:04:29,988.76,9.24,107,,False,,False,,,
Strehaia,Apartment,2017-04-06 05:21:34,845.81,7.29,116,False,False,,,no,,no
Medgidia,Luxury Apartment,2016-09-22 16:37:48,1280.51,55.67,23,True,False,True,,yes,,
Campia Turzii,Studio,2017-05-23 04:04:20,479.14,,,True,False,False,,yes,,
Calafat,Apartment,2017-03-03 21:54:05,809.98,6.75,120,False,False,,,,,
Lupeni,Shared Room,2017-10-22 01:57:22,260.44,,,,,,True,,yes,no
Comanesti,Private Room,2014-08-13 09:30:30,347.72,,,False,,,True,,no,
Harlau,Luxury Apartment,2017-05-01 14:09:56,2879.73,719.93,4,False,,,,,yes,yes
Lupeni,Private Room,2015-03-20 20:35:53,397.24,,,False,,False,True,,yes,
Comanesti,Luxury Apartment,2015-04-21 18:51:30,1580.44,8.41,188,,False,True,,,yes,
Strehaia,Luxury Apartment,2017-06-23 00:41:48,3443.21,37.43,92,False,,False,True,,,
Toplita,Shared Room,2016-06-12 17:19:42,202.79,,,True,,False,False,,no,
Campia Turzii,Luxury Apartment,2017-03-02 21:53:18,1941.59,,,True,False,False,False,,yes,no
Boldesti-Scaeni,Apartment,2017-01-21 11:26:20,990.32,6.56,151,False,,False,,no,yes,
Targu Frumos,Luxury Apartment,2017-09-13 07:24:37,1108.37,,,,True,False,False,,no,
Sovata,Private Room,2014-03-09 08:43:28,326.69,,,False,False,False,False,,yes,
Sovata,Private Room,2016-04-18 11:51:47,362.78,,,True,True,False,,,yes,
Medgidia,Luxury Apartment,2015-10-10 04:33:58,3259.3,125.36,26,False,,False,,,yes,
Focsani,Luxury Apartment,2014-11-07 13:10:21,3963.1,,,,True,True,,,,yes
Afumati,Luxury Apartment,2013-09-09 08:58:30,1714.62,18.84,91,,,,,,,
Comanesti,Apartment,2015-10-27 17:12:55,744.6,9.93,75,,False,False,True,no,,yes
Calarasi,Shared Room,2013-04-10 12:53:45,200.87,,,False,False,True,,,,
Harlau,Other,2013-10-06 09:26:14,115.68,0.58,201,False,True,,,,yes,
Fetesti-Gara,Private Room,2016-08-19 11:36:21,398.35,,,,,,,,,
Pancota,Luxury Apartment,2014-01-11 15:09:39,4199.71,50.0,84,False,False,,True,yes,yes,
Boldesti-Scaeni,Other,2014-02-15 01:11:14,171.42,1.93,89,,,False,True,,no,
Toplita,Apartment,2016-09-14 17:23:12,565.42,4.79,118,True,,,True,no,yes,
Fetesti-Gara,Other,2013-05-25 23:29:12,105.97,0.56,188,False,False,True,True,,yes,
Brad,Luxury Apartment,2017-05-04 23:56:52,4870.99,,,True,,False,False,,yes,
Afumati,Luxury Apartment,2015-01-29 23:39:54,1145.37,,,False,,False,True,no,,
Modelu,Private Room,2014-09-27 11:30:53,374.72,,,True,False,,,,yes,
Medgidia,Apartment,2015-02-13 22:21:52,908.74,,,True,,,True,,yes,yes
Afumati,Apartment,2015-04-01 07:00:14,534.45,23.24,23,True,False,,True,,,
Oradea,Other,2017-01-13 00:50:00,198.98,2.26,88,False,True,False,,,,
Dabuleni,Luxury Apartment,2016-01-31 07:14:09,4972.23,160.39,31,False,True,,False,,no,
Afumati,Shared Room,2013-01-11 08:05:25,243.27,,,,,,False,,no,
Sovata,Studio,2016-06-01 19:14:43,479.41,,,,,False,True,yes,,
Mogosoaia,Apartment,2016-05-30 11:21:04,541.31,,,False,,False,True,,yes,yes
Lupeni,Luxury Apartment,2014-11-19 09:13:44,4991.51,,,False,,,False,,,yes
Boldesti-Scaeni,Luxury Apartment,2013-11-19 17:10:36,4442.37,41.13,108,False,False,False,True,,no,
Boldesti-Scaeni,Apartment,2014-03-31 07:39:25,967.42,10.87,89,,True,,True,,,
Harlau,Other,2017-12-17 03:32:06,170.35,1.58,108,True,,True,,,no,
Medgidia,Luxury Apartment,2017-07-07 09:29:43,3333.6,,,False,True,True,True,no,yes,
Medgidia,Luxury Apartment,2016-06-01 12:03:29,1608.86,,,False,,False,True,,yes,
Targu Frumos,Studio,2014-03-15 21:15:55,428.49,,,False,,True,True,,,
Comanesti,Luxury Apartment,2016-01-28 06:40:28,4097.83,,,False,,True,,,,
Fetesti-Gara,Private Room,2017-04-06 14:38:00,358.92,,,,,,,,,no
Calafat,Luxury Apartment,2014-08-11 21:26:01,4527.5,38.37,118,,True,,True,yes,no,
Iernut,Luxury Apartment,2013-12-17 20:11:13,1859.65,18.41,101,,True,True,True,no,no,no
Toplita,Luxury Apartment,2013-11-13 17:11:33,3857.45,,,,False,False,False,yes,yes,no
Harlau,Apartment,2015-05-26 00:37:49,928.2,6.93,134,False,,,False,,,
Campia Turzii,Apartment,2014-04-12 00:07:37,829.85,,,False,True,True,True,no,no,no
Strehaia,Luxury Apartment,2015-01-15 08:52:41,4709.27,,,,,False,True,,no,no
Dabuleni,Apartment,2016-08-11 19:08:01,755.61,,,,,True,False,,yes,no
Barlad,Apartment,2015-03-23 01:04:59,979.61,8.23,119,,,,False,,yes,
Medgidia,Apartment,2015-01-29 04:46:34,914.61,,,True,False,,False,,,
Calarasi,Apartment,2014-06-01 01:38:41,737.57,8.99,82,,True,False,,,,
Calan,Luxury Apartment,2016-07-15 10:26:53,4690.91,44.68,105,False,False,False,True,no,,yes
Calarasi,Apartment,2016-05-14 03:36:51,843.44,8.27,102,True,True,True,False,,yes,
Prejmer,Luxury Apartment,2014-08-14 10:20:37,1608.41,,,False,,True,,,,no
Brad,Apartment,2016-06-13 15:03:47,832.29,,,,True,,False,,yes,
Modelu,Apartment,2017-10-01 23:00:47,733.97,7.57,97,,,False,False,,,
Boldesti-Scaeni,Private Room,2014-05-23 04:34:15,304.7,,,True,True,False,False,yes,,
Rosiori de Vede,Apartment,2016-06-30 13:59:56,611.78,4.43,138,True,True,True,True,yes,yes,yes
Afumati,Studio,2013-03-17 10:28:01,420.0,,,False,True,False,,,,
Strehaia,Apartment,2016-07-18 21:08:10,796.84,,,True,False,True,False,,,yes
Dabuleni,Private Room,2013-05-27 09:42:52,335.75,,,,False,,,,,no
Medgidia,Apartment,2014-03-24 08:34:04,587.6,6.91,85,,True,,,yes,yes,no
Medgidia,Shared Room,2015-10-24 10:25:02,260.79,,,True,False,,True,,yes,no
Barlad,Other,2016-07-15 22:44:24,132.82,1.66,80,False,False,True,,,yes,
Fetesti-Gara,Apartment,2013-03-10 02:49:24,656.36,,,True,,False,False,,no,
Oradea,Apartment,2017-05-07 00:04:15,707.95,inf,0,False,,True,False,,yes,
Brad,Luxury Apartment,2017-07-24 17:23:48,4384.54,162.39,27,,False,,,no,,
Boldesti-Scaeni,Luxury Apartment,2017-11-17 13:38:59,3294.34,27.23,121,,,False,,no,yes,
Lupeni,Other,2013-04-17 01:52:27,107.14,3.69,29,False,False,False,True,no,yes,
Medgidia,Luxury Apartment,2014-05-12 13:52:38,4557.36,53.62,85,,True,,True,,no,no
Titu,Luxury Apartment,2013-01-19 21:52:11,2297.62,,,,False,False,False,,yes,no
Rosiori de Vede,Apartment,2013-10-30 02:15:46,657.21,5.92,111,False,True,,True,yes,no,
Dabuleni,Apartment,2016-05-20 03:38:10,707.66,15.73,45,,False,True,,yes,no,
Afumati,Apartment,2015-06-29 21:00:02,992.95,8.27,120,,False,,False,,no,no
Oradea,Luxury Apartment,2013-07-29 14:54:18,1823.41,,,True,False,True,True,,yes,
Strehaia,Shared Room,2016-11-01 20:18:44,260.97,,,,,True,,,yes,
Targu Frumos,Luxury Apartment,2014-02-08 14:19:27,3764.41,188.22,20,,,False,True,,no,no
Brad,Studio,2016-07-05 16:17:31,423.75,,,True,,False,False,no,,no
Medgidia,Other,2017-08-03 04:24:36,146.14,5.85,25,,,False,False,,no,
Boldesti-Scaeni,Private Room,2014-09-04 00:10:30,303.67,,,True,False,False,True,,no,
Boldesti-Scaeni,Apartment,2015-04-19 10:59:34,556.65,4.97,112,,,False,False,,,no
Fetesti-Gara,Other,2013-03-03 03:50:49,185.18,1.76,105,False,False,False,False,,,
Calafat,Apartment,2013-06-04 07:43:02,837.35,,,True,,True,True,yes,yes,
Boldesti-Scaeni,Luxury Apartment,2013-04-29 03:59:48,1948.37,11.74,166,,,False,False,,yes,
Pancota,Luxury Apartment,2013-04-01 08:53:39,3413.71,,,,False,True,False,yes,no,
Medgidia,Apartment,2017-01-26 00:32:34,832.5,,,,False,True,,,,
Calafat,Private Room,2014-05-01 11:12:13,338.66,,,True,,False,False,,,
Barlad,Luxury Apartment,2016-11-07 20:10:41,1368.9,,,False,,False,False,,no,yes
Barlad,Studio,2013-07-02 14:55:30,470.61,,,,False,False,,,no,
Lupeni,Luxury Apartment,2013-02-06 18:32:31,3193.52,,,True,True,False,False,,yes,
Mogosoaia,Apartment,2013-05-15 12:12:34,701.85,,,False,False,,,,no,
Rasnov,Luxury Apartment,2015-05-13 19:24:25,4917.84,,,True,True,,True,,yes,no
Barlad,Apartment,2013-04-28 14:16:16,620.96,,,,True,False,True,,,no
Afumati,Apartment,2015-07-06 10:56:46,820.53,10.52,78,False,,True,,,,no
Rasnov,Private Room,2017-11-09 08:46:49,338.66,,,False,True,False,,yes,yes,
Barlad,Studio,2014-10-08 17:04:32,420.6,,,True,,,False,,no,
Sovata,Apartment,2016-11-10 07:49:43,512.36,,,,True,True,True,,,
Dabuleni,Apartment,2016-10-26 06:36:24,979.26,,,False,True,,,,yes,
Strehaia,Private Room,2016-05-19 08:26:17,373.5,,,False,True,True,True,,,no
Calarasi,Apartment,2016-11-27 18:41:35,674.4,18.73,36,False,,False,,no,yes,
Medgidia,Other,2014-12-01 19:26:06,189.64,,,False,True,True,True,,,yes
Prejmer,Apartment,2013-07-27 01:30:34,647.9,,,True,True,,,yes,yes,
Strehaia,Other,2017-05-25 06:42:24,195.57,,,True,True,,True,,,
Calarasi,Other,2014-10-16 00:58:17,177.74,,,True,True,,True,,yes,
Afumati,Apartment,2013-04-10 15:49:23,611.78,7.65,80,,True,,,,yes,
Rosiori de Vede,Shared Room,2015-03-30 07:39:06,257.32,,,,,,False,,,
Toplita,Private Room,2014-12-28 02:29:29,349.48,,,True,,False,True,yes,,
Rasnov,Apartment,2016-04-02 10:06:29,559.92,6.29,89,False,,False,,,,no
Rosiori de Vede,Luxury Apartment,2017-01-03 19:50:56,1590.23,21.78,73,,,True,False,yes,,
Oradea,Luxury Apartment,2015-05-14 07:27:31,3233.26,,,,,,False,yes,,
Harlau,Luxury Apartment,2017-01-06 16:55:15,3919.83,20.0,196,,False,False,,,no,
Afumati,Apartment,2013-11-27 21:12:18,792.37,8.71,91,,False,,True,,yes,
Lupeni,Apartment,2014-01-01 19:50:30,668.11,,,False,False,False,,,yes,
Afumati,Apartment,2013-01-05 21:18:15,533.26,,,,,False,,no,,
Boldesti-Scaeni,Private Room,2013-07-05 19:27:25,355.68,,,,False,,True,no,no,
Medgidia,Apartment,2016-03-28 08:43:31,932.61,,,True,False,False,True,,no,
Iernut,Studio,2017-08-10 10:50:46,477.17,,,False,,True,True,,,
Rasnov,Apartment,2017-07-03 13:10:26,680.53,,,True,False,True,True,,no,
Strehaia,Private Room,2016-07-25 04:03:48,381.14,,,False,,False,,,yes,yes
Calafat,Private Room,2014-05-17 01:53:47,392.8,,,False,False,,True,yes,,no
Toplita,Luxury Apartment,2014-05-15 08:18:32,4633.56,,,,True,,True,yes,no,yes
Boldesti-Scaeni,Luxury Apartment,2013-07-21 01:14:59,2475.42,,,True,,,,,,no
Focsani,Luxury Apartment,2017-10-19 11:51:52,2817.1,39.13,72,True,False,True,False,,,
Iernut,Shared Room,2014-12-08 01:50:06,225.26,,,False,False,,,,yes,no
Iernut,Luxury Apartment,2016-07-26 01:13:18,4332.92,,,True,False,False,True,,yes,yes
Calarasi,Shared Room,2013-07-12 01:33:40,241.28,,,,,False,False,,no,yes
Fetesti-Gara,Other,2015-04-16 18:36:16,182.85,7.03,26,False,,,True,,no,no
Calan,Shared Room,2014-02-14 17:20:22,239.33,,,True,True,False,False,,,
Afumati,Private Room,2017-06-11 16:43:49,393.17,,,True,,True,True,no,yes,
Calafat,Shared Room,2016-06-10 14:58:10,279.79,,,,,True,,,yes,
Afumati,Apartment,2014-01-11 00:06:10,967.69,,,,False,,False,,,
Pancota,Luxury Apartment,2014-02-27 08:50:50,2045.6,25.25,81,,,,True,no,yes,
Oradea,Apartment,2016-08-01 09:51:16,827.55,11.03,75,,,,True,,no,
Calafat,Shared Room,2015-10-15 23:28:15,206.99,,,,,True,False,no,,yes
Prejmer,Shared Room,2013-07-22 12:02:54,214.97,,,True,False,False,,,yes,
Toplita,Apartment,2013-08-17 14:30:31,934.0,14.83,63,True,True,False,True,,,
Barlad,Private Room,2015-03-28 10:20:33,308.38,,,True,,True,,yes,no,
Boldesti-Scaeni,Apartment,2013-12-07 22:25:52,719.92,9.35,77,False,True,True,False,,,yes
Calafat,Apartment,2013-01-22 19:13:58,542.3,5.48,99,True,,False,,,no,no
Rasnov,Other,2015-04-30 14:29:43,122.2,1.03,119,True,,,,,no,
Medgidia,Apartment,2016-04-16 17:03:25,755.22,9.81,77,True,True,,True,no,yes,yes
Afumati,Luxury Apartment,2016-08-11 14:15:17,3799.85,,,True,,False,,yes,,
Brad,Luxury Apartment,2013-11-19 17:10:36,1205.43,11.16,108,,,False,,yes,no,
Strehaia,Luxury Apartment,2014-08-27 17:41:45,4352.93,82.13,53,True,False,,True,,,
Strehaia,Luxury Apartment,2016-08-11 23:11:39,4736.79,24.17,196,,,False,,,yes,
Targu Frumos,Apartment,2016-01-25 06:59:38,605.9,12.62,48,False,False,False,True,no,no,
Modelu,Apartment,2016-06-10 14:58:10,607.14,11.24,54,,,,True,no,yes,yes
Dabuleni,Luxury Apartment,2013-09-09 08:58:30,1836.53,,,True,True,False,,,,no
Medgidia,Apartment,2013-02-24 20:35:24,544.92,4.36,125,False,,False,True,,no,yes
Brad,Luxury Apartment,2014-03-25 19:19:43,1607.65,,,,True,,True,,no,
Afumati,Other,2014-01-21 18:49:50,187.93,9.4,20,True,,False,,,yes,yes
Fetesti-Gara,Studio,2015-12-18 03:54:29,450.35,,,,False,True,False,no,no,
Rasnov,Apartment,2017-12-13 22:43:55,765.94,13.44,57,False,,False,False,yes,,
Afumati,Apartment,2016-02-13 12:03:50,626.83,,,True,,False,,,no,
Boldesti-Scaeni,Luxury Apartment,2013-12-15 09:57:51,4906.63,,,True,False,,True,yes,yes,no
Oradea,Other,2017-10-08 22:49:09,115.41,,,True,,,True,,,yes
Brad,Luxury Apartment,2016-09-23 16:49:01,1288.73,,,,,False,,,yes,yes
Toplita,Studio,2014-11-13 20:30:11,437.83,,,,,False,False,,,yes
Medgidia,Private Room,2013-05-02 03:38:13,379.75,,,False,,True,,,no,
Calafat,Luxury Apartment,2013-02-02 00:46:52,2441.52,,,False,True,,True,,no,
Fetesti-Gara,Luxury Apartment,2013-04-30 20:55:49,3576.2,36.12,99,False,False,,False,,no,
Prejmer,Luxury Apartment,2013-06-03 03:09:18,4871.5,152.23,32,,False,True,True,,,
Dabuleni,Private Room,2017-02-02 19:59:33,341.37,,,True,,True,True,,no,
Prejmer,Apartment,2013-07-05 19:27:25,770.85,,,True,True,False,False,,,
Boldesti-Scaeni,Studio,2013-10-01 02:19:39,468.13,,,True,,True,False,,,
Medgidia,Luxury Apartment,2016-11-20 19:19:42,1184.19,,,False,,,True,,yes,
Rasnov,Luxury Apartment,2013-03-12 03:01:13,4078.54,43.39,94,False,True,False,,,,
Calafat,Luxury Apartment,2013-02-26 03:03:18,2079.51,11.18,186,False,False,,True,,,
Iernut,Apartment,2014-12-12 21:33:06,879.1,,,True,,,True,no,no,yes
Sovata,Luxury Apartment,2013-03-23 08:11:43,1210.3,10.17,119,False,,,,no,yes,
Pancota,Apartment,2015-03-26 18:31:08,838.62,9.64,87,,,True,False,,,no
Barlad,Studio,2017-08-08 08:32:08,479.14,,,True,,True,False,,yes,
Fetesti-Gara,Luxury Apartment,2014-02-06 05:25:57,2183.55,,,,,,True,,,
Campia Turzii,Luxury Apartment,2016-09-05 15:13:36,2433.67,41.96,58,True,,False,,,,
Sovata,Studio,2017-02-23 01:51:09,452.92,,,,True,False,,,yes,no
Rasnov,Studio,2016-01-17 12:47:28,414.93,,,,False,False,False,yes,no,
Dabuleni,Private Room,2017-10-26 17:31:53,365.54,,,,True,,False,,,
Mogosoaia,Luxury Apartment,2013-08-01 05:56:56,3983.76,124.49,32,True,False,True,,,yes,no
Oradea,Luxury Apartment,2017-05-03 20:19:28,1834.47,11.25,163,,,True,,,no,
Sovata,Apartment,2014-09-09 12:18:18,657.21,16.43,40,,False,False,False,,no,
Strehaia,Private Room,2016-12-13 01:20:29,316.68,10.56,30,True,False,False,True,,,
Prejmer,Shared Room,2013-11-11 18:13:27,223.92,,,True,True,False,,,,
Medgidia,Shared Room,2013-09-09 20:29:24,235.17,,,True,True,True,False,,no,
Calafat,Apartment,2017-05-25 10:20:45,944.34,55.55,17,,True,False,,,,
Harlau,Luxury Apartment,2017-08-02 01:20:02,2657.33,,,False,False,False,False,,yes,
Harlau,Luxury Apartment,2017-07-21 00:15:54,2967.15,38.53,77,True,True,True,True,,no,
Oradea,Other,2016-07-15 14:55:47,129.8,1.88,69,False,False,False,,,,
Medgidia,Luxury Apartment,2015-11-22 11:53:19,2306.24,,,False,False,,,,no,
Rasnov,Luxury Apartment,2014-09-06 07:46:39,1665.22,,,True,True,,True,,no,yes
Strehaia,Luxury Apartment,2016-09-25 23:50:33,4667.61,,,,False,False,False,,yes,
Rasnov,Luxury Apartment,2017-03-30 19:55:47,4664.81,63.04,74,False,,,True,,,
Sovata,Luxury Apartment,2014-10-30 06:08:31,4945.95,49.96,99,,False,,False,,,
Rosiori de Vede,Studio,2014-02-26 04:03:24,471.71,,,,False,False,,,yes,
Focsani,Luxury Apartment,2013-06-02 16:14:21,4670.41,,,,False,,True,,no,
Calafat,Apartment,2017-02-17 08:35:49,794.87,6.62,120,,False,False,,,,
Prejmer,Luxury Apartment,2016-10-29 05:59:26,4097.83,,,False,,False,,no,no,
Rasnov,Apartment,2016-12-24 12:05:37,570.89,,,True,False,,,no,yes,
Afumati,Apartment,2017-10-23 06:10:43,772.84,,,True,,False,True,,,no
Boldesti-Scaeni,Apartment,2015-03-23 23:27:58,721.42,51.53,14,False,True,True,True,yes,,
Boldesti-Scaeni,Private Room,2013-02-17 11:24:12,311.59,,,,,False,,,yes,
Rasnov,Shared Room,2016-01-13 06:57:20,298.11,,,True,False,True,True,,no,
Targu Frumos,Apartment,2014-12-02 17:52:47,734.37,,,False,,True,,yes,,
Pancota,Private Room,2017-12-11 19:50:29,303.95,,,,,,,,no,
Mogosoaia,Apartment,2013-03-17 08:32:40,670.6,,,True,False,,,,yes,yes
Brad,Apartment,2015-06-27 12:16:28,854.19,,,,True,,True,no,,
Titu,Private Room,2014-09-11 04:05:18,348.6,,,,True,,,,,
Targu Frumos,Luxury Apartment,2014-06-01 07:20:03,3364.9,80.12,42,True,True,,,,no,
Modelu,Apartment,2015-04-14 19:55:13,831.14,26.81,31,False,,,False,,no,no
Modelu,Apartment,2016-06-07 04:04:39,936.56,,,,,,False,yes,yes,
Brad,Luxury Apartment,2016-07-29 22:36:20,2962.18,15.35,193,False,,True,,yes,,
Toplita,Luxury Apartment,2013-02-17 11:24:12,2551.91,16.46,155,True,False,False,True,,,yes
Calafat,Luxury Apartment,2017-10-06 06:09:58,3068.5,,,,False,False,True,,,
Prejmer,Other,2017-07-02 10:54:26,105.34,,,True,False,False,True,no,,
Rosiori de Vede,Apartment,2016-03-24 08:41:47,867.7,9.64,90,,,True,,,,no
Titu,Apartment,2013-12-19 21:57:22,735.9,12.06,61,False,True,,,no,,
Dabuleni,Apartment,2014-03-01 10:08:16,658.18,5.18,127,False,,True,True,,,
Calafat,Studio,2016-09-14 18:13:33,402.59,,,True,,True,,,yes,
Fetesti-Gara,Apartment,2013-02-21 17:25:26,622.11,41.47,15,False,,False,,,,
Calarasi,Apartment,2015-04-08 14:48:54,622.89,3.82,163,True,True,False,False,no,no,
Titu,Luxury Apartment,2013-09-09 09:04:49,4647.39,70.42,66,,False,True,True,,yes,
Calarasi,Apartment,2013-08-26 01:31:44,987.54,,,False,,True,False,no,no,
Oradea,Studio,2015-12-07 09:48:54,440.85,,,,,,True,,,
Rasnov,Other,2015-01-01 20:57:01,115.65,,,False,,,False,,no,
Targu Frumos,Other,2016-07-10 02:40:27,146.11,1.46,100,True,,,False,yes,yes,
Barlad,Luxury Apartment,2014-10-25 03:18:44,2529.93,,,,False,False,True,,yes,
Afumati,Luxury Apartment,2014-08-27 07:43:51,3875.3,37.26,104,True,True,True,False,,no,
Medgidia,Studio,2017-06-21 12:42:43,494.92,,,,,False,True,,,
Calan,Apartment,2017-03-29 04:23:48,834.14,,,False,False,,False,,,
Calarasi,Luxury Apartment,2017-01-11 14:09:51,4389.68,54.87,80,False,True,,True,no,yes,
Comanesti,Luxury Apartment,2017-05-16 03:23:48,4191.91,,,,True,True,False,,no,
Modelu,Studio,2017-04-16 06:01:17,473.24,18.2,26,False,False,,True,,,
Medgidia,Luxury Apartment,2015-06-30 05:23:17,3958.51,,,True,,,True,,yes,
Mogosoaia,Other,2016-03-21 10:52:40,189.35,,,False,,False,,,yes,
Boldesti-Scaeni,Luxury Apartment,2015-11-19 03:30:55,4463.71,,,True,False,,False,,,no
